discovered_at,chain,dex,address,token_address,symbol,name,liquidity_usd,pool_created_at
2026-09-24T22:19:00.530004+00:00,robinhood,pons-v2,0x75a093a29fd142a7be498c0dc48839910cf7563b,,GACHA / USDG,GACHA / USDG,13249.6626,2026-09-24T22:16:24Z
2026-09-24T22:19:00.530011+00:00,robinhood,pons-v2,0xb7a7d11f4b3911213986e8438dfc0777b0075c50,,OPTSY / WETH,OPTSY / WETH,5096.8529,2026-09-24T22:15:47Z
2026-09-24T22:19:00.530017+00:00,robinhood,pons-v2,0xd89f4c6b578fccabb5ad18b6a15c9da34323775e,,XAHMOEBA / WETH,XAHMOEBA / WETH,7255.2876,2026-09-24T22:15:22Z
2026-09-25T01:25:50.879845+00:00,robinhood,pons-v2,0x0bb95abea7c8c7f5483b7ca81cf4a2e7af8edbf6,,REDAPPLE / WETH,REDAPPLE / WETH,5120.50006908596,2026-09-25T01:24:27Z
2026-09-25T01:25:50.879878+00:00,robinhood,pons-v2,0x29dbe28471e561918237fe07d52364e0b15e89e2,,PFE / WETH,PFE / WETH,12629.0952,2026-09-25T01:23:34Z
2026-09-25T01:25:50.879889+00:00,robinhood,pons-v2,0xf190d4bf2b1bf034dfe3fcb12884bd42c81279fc,,GUM / WETH,GUM / WETH,8199.0896,2026-09-25T01:22:56Z
2026-09-25T01:25:50.879897+00:00,robinhood,uniswap-v2-robinhood,0xbb86b7bf15b561f552612524d8a0bd3b59d6ed25,,BARK / WETH,BARK / WETH,7287.9641,2026-09-25T01:22:55Z
2026-09-25T01:25:50.879905+00:00,robinhood,pons-v2,0xafad167639a6d12ce1b03152d24441909cc17084,,DAVINCI / WETH,DAVINCI / WETH,5398.7893,2026-09-25T01:22:40Z
2026-09-25T07:42:20.060177+00:00,robinhood,uniswap-v4-robinhood,0xb28e44cec052a14a6afa592f5b7c68cb3f52123a31058e6295e8ee8951de56b6,,OH / WETH 0.05%,OH / WETH 0.05%,10987.7576,2026-09-25T07:33:50Z
2026-09-25T07:42:20.060218+00:00,robinhood,uniswap-v4-robinhood,0xf9be0bbf386924d3b123c396dcea4e078bb6fa2c86157298a941cd9029d077d5,,FORECAST / WETH 0.01%,FORECAST / WETH 0.01%,51831.7441,2026-09-25T07:32:26Z
2026-09-25T07:42:20.060224+00:00,robinhood,uniswap-v4-robinhood,0x42b71674cee2ff8e27a8abaff447baff47f084d12ebbf54fab348a9dab55a79d,,ZECDINO / WETH 1%,ZECDINO / WETH 1%,8019.6,2026-09-25T07:32:11Z
2026-09-25T07:42:20.060229+00:00,robinhood,uniswap-v4-robinhood,0x9939c90f7b3ad09b451c9d873d4604ab34219f719ae94256727b2512e62f77ef,,BAIL / WETH 1%,BAIL / WETH 1%,30539.9734,2026-09-25T07:30:56Z
2026-09-25T13:41:06.749828+00:00,robinhood,pons-v2,0xb6b62eb61fea44c43ed048bd1ae1ed8e15cef9f8,,DOT / MSFT,DOT / MSFT,7232.7893,2026-09-25T13:38:52Z
2026-09-25T13:41:06.749870+00:00,robinhood,uniswap-v4-robinhood,0x819689d9e07712e3ad5e519532f53042cbc84e49256c43783ce1932db02400e4,,Agrippa / WETH 1%,Agrippa / WETH 1%,29879.9231,2026-09-25T13:38:23Z
2026-09-25T13:41:06.749878+00:00,robinhood,uniswap-v4-robinhood,0x4f94d4eb8920b8dc987390b8599cffbfbcc2ab04972d7f327d64a6d4a420c5d3,,BP / WETH 1%,BP / WETH 1%,19603.9631,2026-09-25T13:38:13Z
2026-09-25T13:41:06.749884+00:00,robinhood,pons-v2,0xcdce94f28fb3f449fc42cc5aeba0b611e83a5ae2,,UNWND / WETH,UNWND / WETH,5154.6583,2026-09-25T13:38:10Z
2026-09-25T13:41:06.749889+00:00,robinhood,uniswap-v3-robinhood,0x663b67c83916f6c80f432f8c1bd7a786c27ddd0e,,BackCat / WETH 0.01%,BackCat / WETH 0.01%,26230.4915,2026-09-25T13:37:57Z
2026-09-25T13:41:06.749894+00:00,robinhood,pons-v2,0x0705fce34b2961acc9c178d539c630ec31cb33f5,,SHEBOSHIS / WETH,SHEBOSHIS / WETH,5083.2193,2026-09-25T13:37:49Z
2026-09-25T13:41:06.749912+00:00,robinhood,uniswap-v4-robinhood,0xa3e1310d4a85b1275d3d88f7d5853e1959b4f6be2d8ec89fe62f53081d1b13d6,,JESSE / WETH 0.25%,JESSE / WETH 0.25%,7831.8672,2026-09-25T13:37:34Z
2026-09-25T13:41:06.749918+00:00,robinhood,uniswap-v4-robinhood,0xc459b82d91b908aa1391bf6129319ec4443596a26a70821a52cce9b3ea14fd45,,SI / WETH 0.05%,SI / WETH 0.05%,19695.118,2026-09-25T13:36:21Z
2026-09-25T13:41:06.749929+00:00,robinhood,pons-v2,0xd341cd718f7bd1b6997ace6c2e0b912be08bc349,,sasa / WETH,sasa / WETH,9882.6227,2026-09-25T13:36:17Z
